commonid,BlockStartingHour,BankerGroup,state
2018736,11,Purchase,MI
2018736,11,Purchase,MO
2018736,11,Purchase,MT
2018736,11,Purchase,NE
2018736,11,Purchase,NM
2018736,11,Purchase,OH
2018736,11,Purchase,OK
2018736,11,Purchase,OR
2018736,11,Purchase,PA
2018736,11,Purchase,TX
2018736,11,Purchase,VA
2018736,11,Purchase,WY
2018789,11,Purchase,AL
2018789,11,Purchase,AK
2018789,11,Purchase,AZ
2018789,11,Purchase,CA
2018789,11,Purchase,IL
2018789,11,Purchase,ME
2018789,11,Purchase,MI
2018789,11,Purchase,MN
2018789,11,Purchase,NV
2018789,11,Purchase,NJ
2018789,11,Purchase,NM
2018789,11,Purchase,OH
2018789,11,Purchase,OK
2018789,11,Purchase,PA
2018789,11,Purchase,SC
2018789,11,Purchase,SD
2018789,11,Purchase,TX
2018848,11,Purchase,CA
2018848,11,Purchase,CO
2018848,11,Purchase,FL
2018848,11,Purchase,GA
2018848,11,Purchase,IL
2018848,11,Purchase,LA
2018848,11,Purchase,MA
2018848,11,Purchase,MI
2018848,11,Purchase,NJ
2018848,11,Purchase,NM
2018848,11,Purchase,NC
2018848,11,Purchase,OH
2018848,11,Purchase,OK
2018848,11,Purchase,OR
2018848,11,Purchase,TN
2018848,11,Purchase,VA
2018848,11,Purchase,WA
2018848,11,Purchase,WV
2018848,11,Purchase,WI
2018851,11,Purchase,AL
2018851,11,Purchase,CA
2018851,11,Purchase,CO
2018851,11,Purchase,IL
2018851,11,Purchase,IN
2018851,11,Purchase,KY
2018851,11,Purchase,ME
2018851,11,Purchase,MI
2018851,11,Purchase,ND
2018851,11,Purchase,OK
2018851,11,Purchase,OR
2018851,11,Purchase,RI
2018851,11,Purchase,UT
2018851,11,Purchase,WA
2018851,11,Purchase,WV
2018927,11,Refinance,CA
2018927,11,Refinance,FL
2018927,11,Refinance,GA
2018927,11,Refinance,IN
2018927,11,Refinance,KS
2018927,11,Refinance,MI
2018927,11,Refinance,MO
2018927,11,Refinance,NE
2018927,11,Refinance,NC
2018927,11,Refinance,OH
2018927,11,Refinance,TN
2018927,11,Refinance,TX
2018927,11,Refinance,VA
2018927,11,Refinance,WA
2018927,11,Refinance,WI
2019018,11,Refinance,AL
2019018,11,Refinance,CA
2019018,11,Refinance,FL
2019018,11,Refinance,GA
2019018,11,Refinance,HI
2019018,11,Refinance,IL
2019018,11,Refinance,KY
2019018,11,Refinance,ME
2019018,11,Refinance,MD
2019018,11,Refinance,MI
2019018,11,Refinance,MS
2019018,11,Refinance,NV
2019018,11,Refinance,NJ
2019018,11,Refinance,NM
2019018,11,Refinance,OH
2019018,11,Refinance,OK
2019018,11,Refinance,PA
2019018,11,Refinance,TN
2019112,11,Refinance,AZ
2019112,11,Refinance,CA
2019112,11,Refinance,CO
2019112,11,Refinance,FL
2019112,11,Refinance,GA
2019112,11,Refinance,IL
2019112,11,Refinance,IA
2019112,11,Refinance,MD
2019112,11,Refinance,MI
2019112,11,Refinance,MO
2019112,11,Refinance,NE
2019112,11,Refinance,NV
2019112,11,Refinance,NJ
2019112,11,Refinance,NC
2019112,11,Refinance,OH
2019112,11,Refinance,PA
2019112,11,Refinance,TX
2019112,11,Refinance,VA
2019112,11,Refinance,WI
2019171,11,Refinance,AL
2019171,11,Refinance,CA
2019171,11,Refinance,CO
2019171,11,Refinance,DC
2019171,11,Refinance,FL
2019171,11,Refinance,IL
2019171,11,Refinance,MI
2019171,11,Refinance,NY
2019171,11,Refinance,OH
2019171,11,Refinance,OK
2019171,11,Refinance,PA
2019171,11,Refinance,VA
2019171,11,Refinance,WI
2019205,11,Refinance,AL
2019205,11,Refinance,CA
2019205,11,Refinance,CO
2019205,11,Refinance,CT
2019205,11,Refinance,GA
2019205,11,Refinance,IL
2019205,11,Refinance,IN
2019205,11,Refinance,LA
2019205,11,Refinance,MI
2019205,11,Refinance,NC
2019205,11,Refinance,OH
2019205,11,Refinance,PA
2019205,11,Refinance,VA
2019205,11,Refinance,WI
2019272,11,Refinance,AL
2019272,11,Refinance,CA
2019272,11,Refinance,CO
2019272,11,Refinance,DE
2019272,11,Refinance,GA
2019272,11,Refinance,HI
2019272,11,Refinance,IL
2019272,11,Refinance,IA
2019272,11,Refinance,KS
2019272,11,Refinance,MI
2019272,11,Refinance,NJ
2019272,11,Refinance,OH
2019272,11,Refinance,PA
2019272,11,Refinance,TX
2019272,11,Refinance,VA
2019377,11,Purchase,AZ
2019377,11,Purchase,CA
2019377,11,Purchase,FL
2019377,11,Purchase,GA
2019377,11,Purchase,HI
2019377,11,Purchase,IN
2019377,11,Purchase,MD
2019377,11,Purchase,MI
2019377,11,Purchase,MN
2019377,11,Purchase,MO
2019377,11,Purchase,NM
2019377,11,Purchase,OK
2019377,11,Purchase,SC
2019377,11,Purchase,TX
2019377,11,Purchase,VA
2019421,11,Refinance,CA
2019421,11,Refinance,FL
2019421,11,Refinance,GA
2019421,11,Refinance,IL
2019421,11,Refinance,KS
2019421,11,Refinance,KY
2019421,11,Refinance,MA
2019421,11,Refinance,MI
2019421,11,Refinance,NJ
2019421,11,Refinance,NC
2019421,11,Refinance,PA
2019421,11,Refinance,SC
2019421,11,Refinance,TN
2019421,11,Refinance,TX
2019421,11,Refinance,VA
2019421,11,Refinance,WA
2019421,11,Refinance,WI
2019549,11,Refinance,AL
2019549,11,Refinance,CA
2019549,11,Refinance,GA
2019549,11,Refinance,IL
2019549,11,Refinance,IA
2019549,11,Refinance,LA
2019549,11,Refinance,NE
2019549,11,Refinance,NJ
2019549,11,Refinance,NY
2019549,11,Refinance,OH
2019549,11,Refinance,OK
2019549,11,Refinance,OR
2019549,11,Refinance,PA
2019549,11,Refinance,UT
2019549,11,Refinance,VA
2019549,11,Refinance,WA
2019608,11,Purchase,AL
2019608,11,Purchase,CA
2019608,11,Purchase,FL
2019608,11,Purchase,IN
2019608,11,Purchase,MD
2019608,11,Purchase,MI
2019608,11,Purchase,MN
2019608,11,Purchase,NJ
2019608,11,Purchase,OH
2019608,11,Purchase,OK
2019608,11,Purchase,TX
2019608,11,Purchase,VA
2019778,11,Refinance,AL
2019778,11,Refinance,CA
2019778,11,Refinance,CT
2019778,11,Refinance,DE
